CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada
11895;28770;ROTONDA VERENIN GRAZIA;16;Savena;VIALE ROMA;ROTONDA VERENIN GRAZIA;6682;18038;2023-01-27;92.0;;;;;;;;;44.469338233652294, 11.39302426650548;"{""coordinates"": [[11.3930814335101, 44.46973038881889], [11.39303910761209, 44.46969022422207], [11.392979149350198, 44.46958748298215], [11.392964369092022, 44.469511639732836], [11.392998210084711, 44.4693242791838], [11.393047210144553, 44.46912731913948], [11.39308606581869, 44.46899927966906], [11.393129290192041, 44.46893320360031]], ""type"": ""LineString""}";759810
11141;13900;VIA DI CASAGLIA;13;Porto - Saragozza;VIA DI CASAGLIA;VIA DI CASAGLIA;17687;17689;2015-11-24;249.0;;;;;;;;;44.4772387675199, 11.308862729932386;"{""coordinates"": [[11.30960302160133, 44.47736955368156], [11.309473666354851, 44.477374781467425], [11.309400438139088, 44.477365279720914], [11.309310998009243, 44.47732094168532], [11.309222388727912, 44.47724412335579], [11.309129261705152, 44.47717548968787], [11.30900520586767, 44.47710054952267], [11.308867446780221, 44.477046691412134], [11.308792867489577, 44.47703894510213], [11.308767413685, 44.47704871458191], [11.308756847766276, 44.4770674196369], [11.308762778622837, 44.47709504573736], [11.308778487408345, 44.47712478775365], [11.308841120582025, 44.477157046726994], [11.308929468745724, 44.47718647188637], [11.309019620169813, 44.47722048784525], [11.309077735586804, 44.477260931415174], [11.309138006245215, 44.477315204383345], [11.309154353143347, 44.477361111131465], [11.309157374412237, 44.47739688941246], [11.309141092722399, 44.47743421048633], [11.309114121499091, 44.47744631540557], [11.30906078483219, 44.47744508959797], [11.309034419056863, 44.47743174987548], [11.309010598250046, 44.47740101063882], [11.308979466518336, 44.47734846190236], [11.308928915930675, 44.47729515358986], [11.308887719919507, 44.477274020440596], [11.308803226104963, 44.47726070399092], [11.30865129447086, 44.477256844678294], [11.308530200714905, 44.47725697988843], [11.308423585359149, 44.477255669860895], [11.308327796751714, 44.47724258145649], [11.308228427086537, 44.477220310695415], [11.30817063125035, 44.47718795357799], [11.308109209344744, 44.47714527172945], [11.308083586396366, 44.47710995039471], [11.308048347663425, 44.47707598480575], [11.307996482562418, 44.47707125373932]], ""type"": ""LineString""}";759396
3884;22680;VIA DON GIOVANNI FRANCESCO FIAMMELLI;12;Navile;VIA DI CORTICELLA;VIA DEI GIARDINI;16130;11110;1991-10-21;96.0;2;;2;;1;;1;;44.53874071934879, 11.355868163088877;"{""coordinates"": [[11.355268861349813, 44.538698779636256], [11.355999705112632, 44.5387498933706], [11.356467459214103, 44.538782739168525]], ""type"": ""LineString""}";759449
3885;34280;VIA LUCIANO MANARA;12;Navile;VIA GIUSEPPE GABUSSI;VIA STENDHAL;11097;11107;1991-10-21;99.0;8;;10;A;;;;;44.536912773635116, 11.35804951210999;"{""coordinates"": [[11.35746466375705, 44.53705990646189], [11.358634360462931, 44.53676564080834]], ""type"": ""LineString""}";759912
3889;45480;VIA RAFFAELE PETTAZZONI;12;Navile;VIA GENUZIO BENTINI;VIA RAFFAELE PETTAZZONI;11126;15869;1991-10-21;67.0;2;;6;B;1;;1;;44.54252259691969, 11.356409465061407;"{""coordinates"": [[11.356005800449475, 44.542611012328635], [11.356096454970578, 44.5425975009723], [11.356193248502272, 44.542574536217664], [11.356811792070012, 44.5424272694601]], ""type"": ""LineString""}";760195
5723;90050;TANGENZIALE CASALECCHIO-SAN LAZZARO;11;Borgo Panigale - Reno;TANGENZIALE CASALECCHIO-SAN LAZZARO;TANGENZIALE CASALECCHIO-SAN LAZZARO;13486;13485;1996-03-11;34.0;;;;;;;;;44.49083653077155, 11.271495461851545;"{""coordinates"": [[11.271413428942683, 44.49097824971711], [11.271449013240696, 44.49093010699889], [11.271478373975576, 44.49086970953222], [11.27157189291425, 44.490691208708974]], ""type"": ""LineString""}";
10605;52600;VIA TOMMASO SALVINI;14;San Donato - San Vitale;VIA SAN DONATO;VIA FERRUCCIO GARAVAGLIA;16818;17460;2008-10-08;149.0;2;;12;E;3;;3;A;44.50450971896831, 11.366056697911242;"{""coordinates"": [[11.36675204397664, 44.50492219428629], [11.366630402746928, 44.5048163703479], [11.366008226530905, 44.504498288369774], [11.365495928515552, 44.5042321395661], [11.36555053350118, 44.50403339261496]], ""type"": ""LineString""}";760370
11754;30850;VIA LARGA;14;San Donato - San Vitale;;;13095;17964;1991-10-21;74.0;30;;32;3;;;;;44.501219702261295, 11.395921265110077;"{""coordinates"": [[11.396117434421303, 44.501521573404226], [11.395906221112316, 44.501199312531384], [11.395727817855018, 44.50091608199323]], ""type"": ""LineString""}";759859
11977;4000;VIA AZZURRA;14;San Donato - San Vitale;VIA SMERALDO;ROTONDA LEA COLLIVA;6590;18080;1991-10-21;53.0;20;;20;A;23;;27;2;44.490555944321564, 11.373705471623538;"{""coordinates"": [[11.3737367845697, 44.49079340709117], [11.373674158677376, 44.49031848155196]], ""type"": ""LineString""}";758897
9411;24790;ROTONDA ARMANDO GAGLIANI;14;San Donato - San Vitale;VIA DEL MURATORE;VIA DELL'INDUSTRIA;17034;17033;2004-02-20;52.0;;;;;;;;;44.5068886054635, 11.414106765875042;"{""coordinates"": [[11.413904919490232, 44.50675277027391], [11.413961115076642, 44.5067609895701], [11.414006016284043, 44.506774147027045], [11.414051111781777, 44.50679200869619], [11.414091473690911, 44.50681466078988], [11.41412213988844, 44.50684105592878], [11.414149755165608, 44.50687338525253], [11.414174090265286, 44.50690579294551], [11.414190122970538, 44.50694186921765], [11.414199795719332, 44.50697107600626], [11.414202496989425, 44.50699688322937], [11.414197148700975, 44.50702638970017], [11.414188409922515, 44.50705360920701], [11.41417490252698, 44.507084467572064], [11.414156079382677, 44.50710602168192]], ""type"": ""LineString""}";760514
11979;39090;LARGO GIOVANNI IGNAZIO MOLINA;14;San Donato - San Vitale;ROTONDA LEA COLLIVA;VIA TURCHESE;15428;18081;1991-10-21;105.0;4;;6;;1;;9;3;44.49002352363577, 11.37441892655992;"{""coordinates"": [[11.373803989991103, 44.49019829802316], [11.373921653948647, 44.490164441108604], [11.374546302286829, 44.489983613929525], [11.374754019705758, 44.48992480923671], [11.374938081485922, 44.489884312442655], [11.374988890169156, 44.48987407271779], [11.37503843045391, 44.48988060417169]], ""type"": ""LineString""}";759721
11517;19245;VIA DEL DAZIO;16;Savena;VIA DEL DAZIO;VIA DEL DAZIO;17846;17847;2019-10-08;48.0;;;;;;;;;44.45313679411209, 11.369877061150078;"{""coordinates"": [[11.37012699013301, 44.453082502697384], [11.370095509850126, 44.453109317958656], [11.370063549232182, 44.453130165433805], [11.370035918055745, 44.45314370290015], [11.369994601038051, 44.45315820869609], [11.369953236322251, 44.45316718784911], [11.369907624947128, 44.453171546771536], [11.369861640839996, 44.453170421806036], [11.369828690098485, 44.453166181419874], [11.369799322991183, 44.453159805026104], [11.369768561219235, 44.4531509548443], [11.369746781078659, 44.45314136004074], [11.36971958222278, 44.45312737640159], [11.369688289107364, 44.45310601456199], [11.36966051741837, 44.4530797361969], [11.369639377736792, 44.45305055634783]], ""type"": ""LineString""}";1206875
11624;19245;VIA DEL DAZIO;16;Savena;VIA DEL DAZIO;VIA DEL DAZIO;17847;17901;2019-10-08;176.0;;;;;;;;;44.45362236549867, 11.37092708579671;"{""coordinates"": [[11.37012699013301, 44.453082502697384], [11.370434471516928, 44.45327444628622], [11.370829637575971, 44.453558366439886], [11.371250932223425, 44.453836863033814], [11.371579889405277, 44.45407568425054], [11.371704803266105, 44.45419217591872]], ""type"": ""LineString""}";1206875
